name,pricing_type,min_charge,pricing_value,price_as_fabric,tier_formula,assembler_note,seamstress_note,embellisher_note,is_embellishment_option,is_interlining_option,parent_name,data
Take apart charge -15,flat,,15,0,,,,,0,0,Take Apart,
Take apart charge-10,flat,,10,0,,,,,0,0,Take Apart,
Take apart charge-20,flat,,20,0,,,,,0,0,Take Apart,
Take apart charge-25,flat,,25,0,,,,,0,0,Take Apart,
Take apart charge-30,flat,,30,0,,,,,0,0,Take Apart,
Take apart charge-35,flat,,35,0,,,,,0,0,Take Apart,
Take apart charge-40,flat,,40,0,,,,,0,0,Take Apart,
Tassel Trim - Bottom,w1,16,4,0,,,,,0,0,Tassel Trim,size_bottom;
Tassel Trim - Inset Bottom,w1,16,4,0,,,,,0,0,Tassel Trim,size_bottom;inset_size_bottom;
Tassel Trim - Inset Sides,l2,32,4,0,,,,,0,0,Tassel Trim,size_sides;inset_size_sides;
"Tassel Trim - Inset Sides, Bottom",l2w1,48,4,0,,,,,0,0,Tassel Trim,size_bottom;size_sides;inset_size_sides;inset_size_bottom;
"Tassel Trim - Inset Sides, Bottom, Top",l2w2,64,4,0,,,,,0,0,Tassel Trim,size_bottom;size_sides;size_top;inset_size_sides;inset_size_bottom;inset_size_top;
Tassel Trim - Sides,l2,32,4,0,,,,,0,0,Tassel Trim,size_sides;
"Tassel Trim - Sides, Bottom",l2w1,48,4,0,,,,,0,0,Tassel Trim,size_bottom;size_sides;
"Tassel Trim - Sides, Bottom, Top",l2w2,64,4,0,,,,,0,0,Tassel Trim,size_bottom;size_sides;size_top;
Tie Backs,flat,,20,0,,,,,0,0,Tie Backs,
Ties - Bottom,flat,,28,0,,,,,0,0,Ties,size_bottom;
Ties - Inset Bottom,flat,,28,0,,,,,0,0,Ties,size_bottom;inset_size_bottom;
Ties - Inset Sides,flat,,28,0,,,,,0,0,Ties,size_sides;inset_size_sides;
"Ties - Inset Sides, Bottom",flat,,28,0,,,,,0,0,Ties,size_bottom;size_sides;inset_size_sides;inset_size_bottom;
