tShadeName,Pricing_Type,nShadePrice,CutLengthAddInches_inv,CutLengthFormula,DefaultPanelSpacing,HeightPoufAdjustment,HeightRodAdjustment,nHeaderboardIn,nHeaderboardOut,nLengthMultiply,nLengthMultiply_inv,nLengthPlus,nLengthPlus_inv,nOuterRings,nOuterRingsDivisor,nPoufAdjustment_inv,nPricePlusPercentage,nWidthMultiply,nWidthMultiply_inv,nWidthPlus,nWidthPlus_inv,poufy,RingRowMinimum,RodDeduction,RodType,Shade_Type,shadeShape,TDBU Clutch Deduction,TDBU Cord Lock Deduction,TDBU Motorized Deduction,tRingOrGrommet,tSideHemType,tTakeLining,tTakeReturn,Valance_Price,ValanceMinimum,is_tdbu,PanelPoufAdjustment,PanelRodAdjustment,WidthPlusInterlining
RM-Soft Fold  BU (sh001a/11.7),Square Feet,13,49,Spaces x PS,,,,0.125,0.125,,2,,,1.5,20,,0.3,,,5,5,no,2,1,Wood,Shade,TDBU/BU,3.25,2.25,5,White Ring,1,Yes,No,,,Yes,,,
RM-Soft Fold TD/BU (sh001b/12.15),Square Feet,13.5,49,Spaces x PS,,,,0.125,0.125,,2,,,1.5,20,,0.35,,,5,5,no,3,,Wood,Shade,TDBU/BU,3.25,2.25,5,White Ring,1,Yes,No,,,Yes,,,
RM-Austrian (shoo7/11.5),Square Feet,15,,FH + Board,,,,0.125,0.125,3,3,,,1,16.875,,,1.5,2,,,Yes,0,0.75,Flat Plastic,Shade,Austrian,,,,White Ring,1.25,Yes,No,,0.01,,0,0,
RM-Balloon (SH009/8.50),Square Feet,11.26,,FH + Board,,27,32,0.125,0,,,,30,0,16.875,,,2.5,2.5,,,Yes,0,,,Shade,Balloon,,,,Brass Ring,1,Yes,No,,0.01,,5,6,
RM-Casual (SH003/7.50),Square Feet,8.5,,FH + Board,,,,0.125,0.125,,,15,15,1,12,,,,,5,5,no,2,0.25,,Shade,Square,,,,Brass Ring,1,Yes,No,,0.01,,,,
Soft Fold TD/BU-NO Valance,Square Feet,13,24,Spaces x PS,,,,0.125,0.125,,2,,,1.5,20,,0.3,,,5,5,no,3,1,Wood,Shade,Square,3.25,2.25,5,White Ring,1,Yes,No,,,Yes,,,
RM-Pole Cloud (shoo8/8.5),Square Feet,11.26,,FH + Board,,27,32,0.125,0,,,,30,0,12,,,3,3,,,Yes,0,,,Shade,PCloud,,,,Brass Ring,1,Yes,Yes,,,,5,6,
RM-Balloon Royal(sh10/10.5),Square Feet,15,,FH + Board,,27,32,0.125,0,,,,30,0,16.875,,,3.5,3.5,,,Yes,0,,,Shade,Balloon,,,,Brass Ring,1,Yes,No,,,,5,6,
RM-Soft Casual (shoo4/7.5),Square Feet,8.5,,FH + Board,,17,22,0.125,0,,,,30,1,15,,,,,8,10,Yes,2,,,Shade,Square/Trapezoid,,,,Brass Ring,1,Yes,Yes,,,,3,4,
RM-Pltd.Sft Casual(shoo5/7.5),Square Feet,9,,FH + Board,,17,22,0.125,0,,,30,30,1,1,,,1.35,1.35,,,Yes,2,,,Shade,Square,,,,Brass Ring,1,Yes,Yes,,0.01,,3,4,
RM-Casual w/Tails(shoo6/7.5),Square Feet,8.5,,FH + Board,,17,22,0.125,0,,,,30,1,1,,,,,8,10,Yes,2,,,Shade,Square/Trapezoid,,,,Brass Ring,1,Yes,Yes,,,,3,4,
RM-Back Slat (SH002),Square Feet,9,,L + Spaces x 2,,,,,0.125,,1.75,,,1.5,15,,,,,5,5,no,0,1,Round Plastic,Shade,Square,,,,Brass Ring,1,Yes,No,,,,,,
