,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BEST-LINE NAME,BEST-LINE COLOR,FABRIC BOOK & ROTATION,PRICE GRADE,WIDTH/ REPEAT,VENDOR,VENDOR NAME,VENDOR COLOR,CUT PRICE     (BL pays per yard),PIECE PRICE    (BL pays per yard),WHOLESALE PRICE (BL charges per yard),SWATCH,,,,,
Shasta,Sand ,EARTH 2            47,B,55/0,Trend,01838,Beach,$11.50,,$28.25,,,,,,
Shasta,Taupe,EARTH 2           74,B,55/0,Trend,01838,Flax,$11.50,,$28.25,,,,,,
,,,,,,,,,,,,,,,,
Shasta,Terra Cotta,SKY         15,B,55/0,Trend,01838,Terra Cotta,$11.50,,$28.25,,,,,,
Shasta,Vanilla,EARTH 2       34,B,55/0,Trend,01838,Conch,$11.50,,$28.25,,,,,,
Shasta,Wheat,SKY         9,B,55/0,Trend,01838,Wheat,$11.50,,$28.25,,,,,,
Shiloh,Navy,SKY          25,C,54           V-0            H-4.5,Fabricut,Biarritz,Indigo,$14.95,,$32.00,,,,,,
Shiloh,Red,SKY               18,C,54           V-0            H-4.5,Fabricut,Biarritz,Rural Red,$14.95,,$32.00,,,,,,
,,,,,,,,,,,,,,,,
Shiloh,Soft Gray,EARTH 2             88,C,54           V-0            H-4.5,Fabricut,Biarritz,Hemp,$14.95,,$32.00,,,,,,
Sinai,Champagne,EARTH 2                32,D,54/0,Fabricut,Douppioni Silk,Bisque,$20.95,,$37.25,,,,,,
Sinai,Coconut,EARTH 2            25,D,54/0,Fabricut,Douppioni Silk,Coconut,$20.95,,$37.25,,,,,,
Sinai,Gold,EARTH 2            49,D,54/0,Fabricut,Douppioni Silk,Hemp,$20.95,,$37.25,,,,,,
Sinai,Linen,EARTH 2              84,D,54/0,Fabricut,Douppioni Silk,Natural,$20.95,,$37.25,,,,,,
,,,,,,,,,,,,,,,,
Sinai,Natural,EARTH 2         90,D,54/0,Fabricut,Douppioni Silk,Pearl,$20.95,,$37.25,,,,,,
Spruce,Alabaster,Wood,T,72/0,Newcastle,Homespun,A 900,,$24.56,$54.00,,,,,,
Spruce,Almond,Wood,T,72/0,Newcastle,Homespun,B 800,,$24.56,$54.00,,,,,,
Spruce,Smoke,Wood,T,72/0,Newcastle,Homespun,G 710,,$24.56,$54.00,,,,,,
St. Croix,Champagne,EARTH 2             17,C,54              V-1.125       H-1,Fabricut,Burkhart,Off White,$15.80,,$32.00,,,,,,
St. Croix,Linen,EARTH 2     33,C,54              V-1.125       H-1,Fabricut,Burkhart,Natural,$15.80,,$32.00,,,,,,
Sycamore,Natural,Wood,S,72/0,Newcastle,Homespun,E 500,,$22.23,$48.00,,,,,,
Sycamore,Toast,Wood,S,72/0,Newcastle,Homespun,F 400,,$22.23,$48.00,,,,,,
Sycamore,Walnut,Wood,S,72/0,Newcastle,Homespun,H 200,,$22.23,$48.00,,,,,,
Tasman,Eucalyptus,SKY                47,F,51             V-9             H-8.5,Fabricut,Passarella,Eucalyptus,$26.30,,$54.25,,,,,,
Tasman,Plume,SKY             36,F,51             V-9             H-8.5,Fabricut,Passarella,Plume,$26.30,,$54.25,,,,,,
Tasman,Smoke,EARTH 2              58,F,51             V-9             H-8.5,Fabricut,Passarella,Smoke,$26.30,,$54.25,,,,,,
Tonto,Cabernet,SKY           17,C,54/0,Fabricut,Civilized,Merlot,$15.55,,$32.00,,,,,,
Tonto,Mineral,EARTH 2           59,C,54/0,Fabricut,Civilized,Stone,$15.55,,$32.00,,,,,,
Tusk,Oyster,EARTH 2             11,A,118/0,Trend,01804,Champagne,$4.45,,$22.00,,,,,,
Tusk,Snow,EARTH 2              5,A,118/0,Trend,01804,Winter,$4.45,,$22.00,,,,,,
Vancouver,Ecru,EARTH 2        15,D,54           V-0           H-3,Fabricut,Buffet Stripe,Ivory,$20.00,,$37.25,,,,,,
Vanderbilt,Dune,EARTH 2            42,C,56/0,Fabricut,Shetland,Dune,$16.95,,$32.00,,,,,,
Vanderbilt,Flannel,EARTH 2         56,C,56/0,Fabricut,Shetland,Flannel,$16.95,,$32.00,,,,,,
Vanderbilt,Heather,EARTH 2             62,C,56/0,Fabricut,Shetland,Flax,$16.95,,$32.00,,,,,,
Vanderbilt,Parchment,EARTH 2         95,C,56/0,Fabricut,Shetland,Natural,$16.95,,$32.00,,,,,,
Vanderbilt,Shark,EARTH 2          65,C,56/0,Fabricut,Shetland,Shark,$16.95,,$32.00,,,,,,
Vanderbilt,Winter,EARTH 2         4,C,56/0,Fabricut,Shetland,Ice,$16.95,,$32.00,,,,,,
Venus,Curry,SKY         12,B,54               V-11.5            H-13.5,Fabricut,Ikat Paisley,Canyon,$13.95,,$28.25,,,,,,
Venus,Passion,SKY               22,B,54               V-11.5            H-13.5,Fabricut,Ikat Paisley,Mulberry,$13.95,,$28.25,,,,,,
Willow,Porcelain,Wood,R,72/0,Newcastle,Matchstick,Sun Bleached White,,$20.90,$42.00,,,,,,
Willow,Tuscan,Wood,R,72/0,Newcastle,Matchstick,Tuscan Tan,,$20.90,$42.00,,,,,,
Willow,Wheat,Wood,R,72/0,Newcastle,Matchstick,Summer Tan,,$20.90,$42.00,,,,,,
Zenith,Aqua,SKY          41,D,54              V-0           H-2,Fabricut,Stella,Aqua,$18.95,,$37.25,,,,,,
Zion,Beige,EARTH 2             80,F,54/0,Fabricut,Albi Linen,Linen,$23.95,,$54.25,,,,,,
Zion,Natural,EARTH 2         97,F,54/0,Fabricut,Albi Linen,Parchment,$23.95,,$54.25,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
