shade_name,pricing_type,shade_price,cut_length_add_inches_invoice,cut_length_formula,default_panel_spacing,pouf_height_adjustment,rod_height_adjustment,headerboard_deduction_if_in,headerboard_deduction_if_out,length_multiplier,length_multipler_invoice,length_plus,length_plus_invoic,outer_rings,outer_rings_divsor,pouf_adjustment_invoice,add_percentage_to_price,width_multiplier,width_multiplier_invoice,width_plus,width_plus_invoic,is_pouf,ring_row_minimum ,rod_deduction,rod_type,shade_type,shade_shape,tdbu_clutch_deduction,tdbu_cord_lock_deduction,tdbu_motorized_deduction,ring_hardware,side_hem_width,take_lining,take_return,valance_price,valance_minimum_charge
Casual BU - NO Valance-o,Square Feet,10.63,15,FH + Board,,,,.125,.125,,,15,15,1,15,,0.3,,,5,5,no,2,,,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,
Casual TD/BU - NO Valance-o,Square Feet,11.05,15,FH + Board,,,,,.125,,,15,15,1,15,,0.35,,,5,5,no,2,1,,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,
Back Slat BU - NO VALANCE,Square Feet,11.25,25,L + Spaces x 2,,,,,.125,,1.75,,,1.5,38,,0.3,,,5,5,no,2,,,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,
Back Slat TD/BU - NO VALANCE,Square Feet,11.7,25,L + Spaces x 2,,,,,.125,,1.75,,,1.5,38,,0.3,,,5,5,no,2,,,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,
Front Slat TD/BU - NO VALANCE,Square Feet,12.15,25,L + Spaces x 2,,,,.125,.125,,1.75,,,1.5,38,,0.35,,,5,5,no,2,1,Wood,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,
Front Slat BU - NO VALANCE,Square Feet,11.7,25,L + Spaces x 2,,,,.125,.125,,1.75,,,1.5,38,,0.3,,,5,5,no,2,,,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,
RM-Soft Fold (shoo1/9),Square Feet,10,24,Spaces x PS,,,,.125,.125,,2,,,1.5,15,,,,,5,5,no,,1,Round Plastic,Shade,Square,,,,White Ring,1,Yes,No,,0.01
RM-Soft Fold  BU (sh001a/11.7),Square Feet,13,49,Spaces x PS,,,,.125,.125,,2,,,1.5,20,,0.3,,,5,5,no,2,1,Wood,Shade,TDBU/BU,3.25,2.25,5,White Ring,1,Yes,No,,
RM-Soft Fold TD/BU (sh001b/12.15),Square Feet,13.5,49,Spaces x PS,,,,.125,.125,,2,,,1.5,20,,0.35,,,5,5,no,3,,Wood,Shade,TDBU/BU,3.25,2.25,5,White Ring,1,Yes,No,,
RM-Austrian (shoo7/11.5),Square Feet,15,,FH + Board,,,,.125,.125,3,3,,,1,16.875,,,1.5,2,,,Yes,,0.75,Flat Plastic,Shade,Austrian,,,,White Ring,1.25,Yes,No,,0.01
RM-Balloon (SH009/8.50),Square Feet,11.26,,FH + Board,,27,32,.125,0,,,,30,0,16.875,,,2.5,2.5,,,Yes,,,,Shade,Balloon,,,,Brass Ring,1,Yes,No,,0.01
RM-Casual (SH003/7.50),Square Feet,8.5,,FH + Board,,,,.125,.125,,,15,15,1,12,,,,,5,5,no,2,0.25,,Shade,Square,,,,Brass Ring,1,Yes,No,,0.01
Soft Fold TD/BU-NO Valance,Square Feet,13,24,Spaces x PS,,,,.125,.125,,2,,,1.5,20,,0.3,,,5,5,no,3,1,Wood,Shade,Square,3.25,2.25,5,White Ring,1,Yes,No,,
RM-Pole Cloud (shoo8/8.5),Square Feet,11.26,,FH + Board,,27,32,.125,0,,,,30,0,12,,,3,3,,,Yes,,,,Shade,PCloud,,,,Brass Ring,1,Yes,Yes,,
RM-Balloon Royal(sh10/10.5),Square Feet,15,,FH + Board,,27,32,.125,0,,,,30,0,16.875,,,3.5,3.5,,,Yes,,,,Shade,Balloon,,,,Brass Ring,1,Yes,No,,
RM-Soft Casual (shoo4/7.5),Square Feet,8.5,,FH + Board,,17,22,.125,0,,,,30,1,15,,,,,8,10,Yes,2,,,Shade,Square/Trapezoid,,,,Brass Ring,1,Yes,Yes,,
RM-Pltd.Sft Casual(shoo5/7.5),Square Feet,9,,FH + Board,,17,22,.125,0,,,30,30,1,,,,1.35,1.35,,,Yes,2,,,Shade,Square,,,,Brass Ring,1,Yes,Yes,,0.01
RM-Casual w/Tails(shoo6/7.5),Square Feet,8.5,,FH + Board,,17,22,.125,0,,,,30,1,,,,,,8,10,Yes,2,,,Shade,Square/Trapezoid,,,,Brass Ring,1,Yes,Yes,,
"RM-Back Slat (SH002)
",Square Feet,9,,L + Spaces x 2,,,,,.125,,1.75,,,1.5,15,,,,,5,5,no,,1,Round Plastic,Shade,Square,,,,Brass Ring,1,Yes,No,,
RM-Dog Ear (SH011/8.00),Square Feet,10,,FH + Board,,22,27,.125,0,,,,30,,,,0.35,1.5,2,,,Yes,,,,Shade,Dog Ear,,,,Brass Ring,1,Yes,Yes,,0.01
Casual,Square Feet,8.6,,FH + Board,,,,.125,.125,,,15,15,1,12,,,,,5,5,no,2,0.25,,Shade,Square,,,,Brass Ring,1,Yes,No,,0.01
Casual BU w/Valance,Square Feet,11.18,33,FH + Board,,,,.125,.125,,,33,33,1,15,,0.3,,,5,5,no,2,0.25,,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,
Casual BU - NO Valance,Square Feet,10.75,15,FH + Board,,,,.125,.125,,,15,15,1,15,,0.3,,,5,5,no,2,0.25,,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,
Casual TD/BU w/Valance,Square Feet,11.61,33,FH + Board,,,,.125,.125,,,33,33,1,15,,0.35,,,5,5,no,2,0.25,,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,
Casual TD/BU - NO Valance,Square Feet,11.18,15,FH + Board,,,,.125,.125,,,15,15,1,15,,0.35,,,5,5,no,2,0.25,,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,
Soft Casual,Square Feet,8.6,30,FH + Board,,17,22,.125,,,,30,30,1,45,,,,,8,10,Yes,2,,,Shade,Square/Trapezoid,,,,Brass Ring,1,Yes,Yes,,
Casual with Tails,Square Feet,8.6,30,FH + Board,,17,22,.125,,,,30,30,1,52,,,,,8,10,Yes,2,,,Shade,Square/Trapezoid,,,,Brass Ring,1,Yes,Yes,,
Pltd. Soft Casual,Square Feet,9,33,FH + Board,,17,22,.125,,,,30,30,1,45,,,1.35,1.35,,,Yes,2,,,Shade,Square,,,,Brass Ring,1,Yes,Yes,,0.01
Gathered Casual,Square Feet,9,33,FH + Board,,17,22,.125,0,,,20,30,1,,,,1.5,1.5,,,Yes,2,,,Shade,Square,,,,Brass Ring,1,Yes,Yes,,0.01
